,longitude,latitude,Postal_Code,Region,Province,Municipality,Price,Price_m2,Type_of_Property,Subtype_of_Property,State_of_the_Building,Number_of_Rooms,Living_Area,Fully_Equipped_Kitchen,Furnished,Open_fire,Terrace,Terrace_Area,Garden,Garden_Area,Number_of_Facades,Swimming_Pool,Disabled_Access,Lift
8605,4.292904442200332,50.828980275263795,1070,0,0,Anderlecht,235000,3133,1,APARTMENT,5,2,75,0,0,0,1,17,0,0,2,0,1,1
8607,4.376134025032607,51.248447820724365,2060,2,8,Antwerpen,235000,4196,1,APARTMENT,0,2,56,0,0,0,1,11,0,0,2,0,0,0
8609,5.638561209383813,50.639959100598105,4020,1,7,Liège,190000,2923,1,APARTMENT,6,1,65,0,0,0,1,7,0,0,2,0,0,1
8610,5.865875472582388,50.59152456135572,4800,1,7,Verviers,565000,247,0,VILLA,6,5,286,0,0,0,1,50,1,2000,4,0,0,0
8611,3.7710482317047225,51.03750198876654,9050,2,9,Gent,345000,3026,0,HOUSE,2,2,114,0,0,0,1,30,0,0,2,0,0,0
8612,4.43799132057269,50.81019872509648,1160,0,0,Auderghem,555000,6098,1,APARTMENT,5,2,91,1,0,0,1,15,0,0,2,0,1,1
8614,5.508048762890354,50.58496196593964,4100,1,7,Seraing,219900,1559,1,APARTMENT,5,2,141,0,0,0,1,10,0,0,2,0,0,0
8615,4.376134025032607,51.248447820724365,2000,2,8,Antwerpen,1100000,3666,1,APARTMENT,5,3,300,1,0,0,1,50,0,0,2,0,1,1
8616,3.1177834512642963,50.94625796358603,8800,2,10,Roeselare,159000,1728,1,APARTMENT,6,2,92,0,0,0,1,10,0,0,2,0,0,1
8617,4.318418678989754,50.85522961973389,1080,0,0,Molenbeek-Saint-Jean,275000,2500,1,APARTMENT,5,2,110,0,0,1,1,26,0,0,2,0,0,1
8622,4.736791897843723,50.88954206447257,3010,2,6,Leuven,435000,3041,1,DUPLEX,5,4,143,0,0,0,1,55,0,0,4,0,0,0
8623,4.609958977641858,50.72477661519289,1300,1,3,Wavre,173000,2982,1,PENTHOUSE,6,1,58,0,0,0,1,30,0,0,3,0,0,1
8624,4.156645019474472,51.16368187628335,9100,2,9,Sint-Niklaas,266500,3373,1,APARTMENT,0,1,79,0,0,0,1,11,0,0,2,0,0,1
8625,4.360048181748833,51.063785840068654,2830,2,8,Willebroek,268000,1472,1,APARTMENT,0,1,74,1,0,0,1,10,1,108,4,0,0,0
8626,4.199980231053451,50.83953171216256,1703,2,6,Dilbeek,365000,3411,1,DUPLEX,6,3,107,1,0,0,1,7,0,0,2,0,0,0
8627,5.430129978484226,50.593410925357574,4400,1,7,Flémalle,275000,763,0,HOUSE,6,3,120,0,0,0,1,25,1,240,3,0,0,0
8628,4.344697581912635,50.829476307319766,1060,0,0,Saint-Gilles,545000,2945,1,DUPLEX,6,3,185,0,0,0,1,15,0,0,2,0,0,0
8629,4.375234148039785,50.87298266192055,1120,0,0,Bruxelles,225000,3214,1,APARTMENT,6,2,70,0,0,0,1,5,0,0,2,0,0,1
